Equipment state (expert assessment),Substation name,Dispatcher name,Transformer,Winding arrangement & Switching devices,Oil year,Breakdown voltage. kV,Moisture content. g/t,Acid number. mgKOH/g,Oil tangent at 90С. %,Flash point in closed cup. С,Н2. % vol.,СН4. % vol.,С2Н4. % vol.,С2Н6. % vol.,С2Н2. % vol.,СО2. % vol.,СО. % vol.,Winding year,Winding temperature during  last tests. C,R60 insulation resistance of HV winding. measured during commissioning tests. Mohm,R60 insulation resistance of HV winding. measured during last tests. MOhm,Tangent of HV winding insulation. measured during last tests. %,R60 insulation resistance of MV (LV1) winding. measured during commissioning tests. MOhm,Tangent of MV (LV1) winding insulation. measured during commissioning tests. %,R60 insulation resistance of MV (LV1) winding. measured during last tests. MOhm,Tangent of MV (LV1) winding insulation. measured during last tests. %,R60 insulation resistance of LV (LV2) winding. measured during commissioning tests. MOhm,Tangent of MV (LV2) winding insulation. measured during commissioning tests. %,R60 insulation resistance of LV (LV2) winding. measured during last tests. MOhm,Tangent of MV (LV2) winding insulation. measured during last tests. %,On-load tap-changer year,Breakdown voltage of oil from the tank. kV
unserviceable,110/35/10kVPavino,Т-2,TMTN-6300,3.00,-1.0,52.7,22.0,43712.00,0.03,-1.00,0.00,0.00047000000000000004,0.0024,0.00,0.0045,0.13,0.006999999999999999,-1.0,8.0,5000.00,700.00,0.54,5000.00,0.23,600.00,0.63,3000.00,0.22,1000.00,0.53,-1.0,68.7
satisfactory,110/35/10kVVokhma,Т-1,TMTN-6300,3.00,-1.0,70.0,20.0,0.39,0.005,-1.00,0.00,0.0026,0.00,0.00,0.00,0.06,0.008,-1.0,20.0,3000.00,745.00,43586.00,3000.00,0.22,712.00,43556.00,3000.00,0.215,735.00,43556.00,-1.0,56.0
satisfactory,Zherdevskaia110/35/10kV,Т-1,TDTN-16000/110-76U1,3.00,-1.0,63.0,0.0,-1.00,0.029,-1.00,0.00,0.0,0.00265,0.00,0.00,0.0411,0.00823,-1.0,20.0,1250.00,2200.00,0.18,1200.00,0.24,1300.00,0.19,1400.00,0.33,1600.00,0.27,-1.0,32.0
satisfactory,Zherdevskaia110/35/10kV,Т-2,TDTN-16000/110-76U1,3.00,-1.0,54.0,0.0,-1.00,0.031,-1.00,0.00,0.0,0.00145,0.00145,0.00,0.0312,0.004529999999999999,-1.0,20.0,1000.00,2000.00,0.21,1200.00,0.12,1600.00,0.2,1900.00,0.15,1800.00,0.26,-1.0,38.0
good,Mordovskaia110/35/10kV,Т-1,TDTN-10000/110U1,3.00,-1.0,47.0,0.0,-1.00,0.025,-1.00,0.00,0.0,0.00,0.00,0.00,0.014209999999999999,0.00234,-1.0,30.0,620.00,8000.00,0.15,520.00,0.44,6200.00,0.12,700.00,0.43,7000.00,0.14,-1.0,62.0
satisfactory,Mordovskaia110/35/10kV,Т-2,TDTN-10000/110-70U1,3.00,-1.0,48.0,0.0,-1.00,0.0027,-1.00,0.00,0.0,0.0015,0.00,0.00,0.0283,0.00214,-1.0,20.0,1000.00,1200.00,0.14,800.00,0.14,900.00,0.16,900.00,0.19,1000.00,0.18,-1.0,72.0
satisfactory,Rzhaksinskaia110/35/10kV,Т-1,TDTN-10000/110U1,3.00,-1.0,57.0,0.0,-1.00,0.0038,-1.00,0.00,0.0,0.00052,0.00,0.00,0.0412,0.00364,-1.0,35.0,550.00,180.00,0.96,2000.00,0.36,410.00,0.96,1500.00,0.31,400.00,0.96,-1.0,44.0
good,Rzhaksinskaia110/35/10kV,Т-2,TDTN-10000/110U2,3.00,-1.0,53.0,0.0,-1.00,0.0031,-1.00,0.00,0.0,0.00263,0.00041,0.00,0.0486,0.00415,-1.0,20.0,700.00,2500.00,0.18,3900.00,0.31,3300.00,0.27,3500.00,0.34,3200.00,0.16,-1.0,68.0
good,Dubrovskaia,Т-1,TDTN-1600/110-76U1,3.00,-1.0,66.0,14.86,0.3,0.012,-1.00,0.00,0.0001,0.00203,0.00,0.00,0.10868,0.01457,-1.0,-1.0,4000.00,5000.00,0.28,4500.00,0.31,6000.00,0.28,4500.00,0.26,6000.00,0.18,-1.0,-1.0
good,Dubrovskaia,Т-2,TDTN-1600/110-76U1,3.00,-1.0,71.0,10.17,43466.00,0.011,-1.00,0.00,0.00025,0.00118,0.00,0.00,0.18827,0.02665,-1.0,-1.0,3500.00,4500.00,0.31,4000.00,0.33,5500.00,0.29,3500.00,0.28,5000.00,0.21,-1.0,-1.0
good,Cletnianskaia,Т-2,TDTN-1600/110-76U1,3.00,-1.0,64.0,15.42,0.3,0.009,-1.00,0.00,0.00018,0.00101,0.00,0.00,0.12322000000000001,0.01454,-1.0,-1.0,1500.00,2000.00,0.27,1800.00,0.29,2200.00,0.25,2000.00,0.23,2500.00,0.19,-1.0,-1.0
good,Cletnianskaia,Т-1,TDTN-10000/110,3.00,-1.0,76.0,20.94,0.6,0.014,-1.00,0.00,0.00014,0.00183,0.00,0.00,0.19112,0.01856,-1.0,-1.0,2500.00,3500.00,0.19,3000.00,0.25,4000.00,0.21,3000.00,0.18,4000.00,0.17,-1.0,-1.0
good,Zhukovskaia,Т-2,TDTN-25000/110-79U1,3.00,-1.0,78.0,18.23,43525.00,0.012,-1.00,0.00,0.00,0.00154,0.00,0.00,0.1383,0.01495,-1.0,-1.0,2000.00,3000.00,0.23,4000.00,0.23,5000.00,0.19,4000.00,0.2,5000.00,0.18,-1.0,-1.0
good,Zhukovskaia,Т-1,TDTN-16000/110,3.00,-1.0,78.0,13.54,0.9,0.008,-1.00,0.00,0.00,0.00229,0.00,0.00,0.15587,0.01712,-1.0,-1.0,3000.00,4000.00,0.19,4500.00,0.26,5000.00,0.22,4500.00,0.21,5500.00,0.19,-1.0,-1.0
good,Centralnaia,Т-1,TDTN-16000/110-U1,3.00,-1.0,61.0,25.15,0.4,0.011,-1.00,0.00,0.00,0.00198,0.00,0.00,0.16251,0.01712,-1.0,-1.0,2500.00,3500.00,0.18,2800.00,0.21,3500.00,0.18,3000.00,0.2,4000.00,0.18,-1.0,-1.0
satisfactory,Orositelnaia,2Т,TDTN-16000/110,3.00,-1.0,53.0,43499.00,1.27,0.028,-1.00,0.00,0.00018,0.0016,0.00,0.001,0.126,0.0058,-1.0,20.0,2500.00,10000.00,0.21,1800.00,0.06,10000.00,0.22,2300.00,0.1,10000.00,0.23,-1.0,63.0
satisfactory,Rovenki,1Т,TDTN-16000/110,3.00,-1.0,76.0,43504.00,0.59,0.0028,-1.00,0.00,0.00011,0.00018,0.00,0.0005,0.049,0.0033,-1.0,20.0,8000.00,10000.00,0.14,7200.00,0.2,10000.00,0.16,8000.00,0.23,10000.00,0.18,-1.0,48.0
good,Zhuravliki-110,2Т,TDTN-40000/110,3.00,-1.0,63.6,43681.00,0.1,0.011,-1.00,0.00,0.00011,0.00,0.00,0.00,0.0078,0.002,-1.0,18.0,4250.00,8000.00,0.03,2500.00,0.0227,6000.00,0.03,2500.00,0.033,6000.00,0.04,-1.0,62.8
good,Rudnik,1Т,TDTN-25000,3.00,-1.0,-1.0,43653.00,-1.00,-1.00,-1.00,0.00,0.0012,0.0014,0.00,0.0014,0.174,0.0063,-1.0,34.0,1400.00,3000.00,0.245,1700.00,0.45,2800.00,0.24600000000000002,1750.00,0.55,3000.00,0.426,-1.0,61.2
good,Rudnik,2Т,TDTN-25000,3.00,-1.0,-1.0,43474.00,-1.00,-1.00,-1.00,0.00,0.0001,0.0029,0.00,0.00049,0.153,0.005,-1.0,20.0,750.00,9000.00,0.36700000000000005,850.00,0.3,7500.00,0.253,900.00,0.4,10000.00,0.356,-1.0,68.0
good,Cheremoshnoe,1Т,TDTN-25000,3.00,-1.0,70.0,43650.00,0.44,0.02,-1.00,0.00,0.00018,0.00023,0.00,0.00,0.14,0.011000000000000001,-1.0,20.0,900.00,1700.00,0.19699999999999998,1400.00,0.3,2500.00,0.203,1500.00,0.4,2000.00,0.229,-1.0,58.8
satisfactory,Cheremoshnoe,2Т,TDTN-25000,3.00,-1.0,70.0,43471.00,0.13,0.015,-1.00,0.00,0.00016,0.0001,0.00,0.00019,0.105,0.005,-1.0,30.0,5000.00,10000.00,0.11,4000.00,0.1,10000.00,0.3,6000.00,0.2,10000.00,0.23,-1.0,61.6
satisfactory,Sudogda,Т-2,TDTN-25000/110,3.00,1994.0,67.0,43623.00,43586.00,0.006,141.00,0.00001,0.00018999999999999998,0.00353,0.00006,0.00001,0.575,0.027999999999999997,1994.0,23.0,2700.00,3400.00,0.11,950.00,0.11,2100.00,0.1,780.00,0.16,1300.00,0.10,1994.0,-1.0
satisfactory,Undol,Т-2,TDTNG-31500/110,3.00,1965.0,62.0,43532.00,0.7,0.008,146.00,0.00001,0.00022,0.00062,0.00013,0.00001,0.268,0.009000000000000001,1965.0,22.0,3500.00,5200.00,0.12,1200.00,0.14,3200.00,0.16,1100.00,0.12,1500.00,0.10,1965.0,-1.0
satisfactory,Gus,Т-1,TDTN-110/35/6,3.00,1978.0,52.0,-1.0,-1.00,0.074,143.00,0.00001,0.00065,0.0045,0.0008,0.00049,0.122,0.009000000000000001,1978.0,20.0,500.00,700.00,0.41,370.00,0.4,800.00,0.4,360.00,0.5,1000.00,0.4,1978.0,-1.0
satisfactory,Gus,Т-2,TDTNG-110/35/6,3.00,1959.0,67.2,-1.0,-1.00,0.07,142.00,0.00041,0.00047000000000000004,0.00111,0.00039,0.00001,0.331,0.013999999999999999,1959.0,35.0,1000.00,1200.00,0.95,1000.00,0.9,1500.00,0.9,1000.00,1.0,1200.00,1.00,1959.0,-1.0
satisfactory,Kovrov,Т-2,TDTNG,3.00,1962.0,64.0,-1.0,0.9,0.026,144.00,0.00001,0.00028,0.0005,0.00024,0.00001,0.265,0.011000000000000001,1962.0,10.0,-1.00,10700.00,0.29,-1.00,-1.0,11200.00,0.32,-1.00,-1.0,9300.00,0.29,1962.0,0.0
satisfactory,Nikologory,Т-1,TDTN,3.00,1988.0,46.0,-1.0,43497.00,0.024,142.00,0.00254,0.00011,0.00105,0.00003,0.00001,0.198,0.011000000000000001,1988.0,20.0,1200.00,24000.00,0.24,950.00,0.34,18000.00,0.26,1200.00,0.39,18000.00,0.29,1988.0,0.0
satisfactory,Kolchugino,Т-1,TDTN-25000/110U1,3.00,2003.0,60.0,43636.00,0.2,0.026,147.00,0.00056,0.0008300000000000001,0.00321,0.00023,0.00695,0.20600000000000002,0.06,2003.0,5.0,16000.00,10000.00,-1.0,13000.00,0.22,10000.00,-1.0,10000.00,0.32,10000.00,-1.00,2003.0,46.0
satisfactory,Makarovo,Т-1,TDTN-10000/110U1,3.00,2006.0,64.0,43661.00,-1.00,0.015,148.00,0.00001,0.00014,0.00002,0.00001,0.00001,0.105,0.011000000000000001,2006.0,-1.0,6500.00,-1.00,-1.0,5500.00,0.16,-1.00,-1.0,4800.00,0.36,-1.00,-1.00,2006.0,64.0
satisfactory,Lezhnevo-110,Т-2,TDTN-16000/110/35/10,3.00,1986.0,66.8,-1.0,0.8,0.029,148.00,0.00003,0.00,0.00036,0.00001,0.00007,0.07886,0.00563,1986.0,20.0,1000.00,2150.00,0.1,900.00,0.2,2700.00,0.1,1000.00,0.3,2900.00,0.1,1986.0,46.0
satisfactory,Lezhnevo-110,Т-1,TDTN-16000/110/35/10,3.00,1986.0,67.6,-1.0,0.54,0.028,148.00,0.00004,0.00,0.00105,0.00005,0.00002,0.11688,0.00843,1986.0,38.0,1800.00,1900.00,0.1,1600.00,0.5,3000.00,0.1,2200.00,0.6,10000.00,0.1,1986.0,50.4
satisfactory,Teikovo,Т-1,TDTN-25000/110/35/6,3.00,1987.0,77.8,-1.0,0.81,0.03,148.00,0.00001,0.00,0.00006,0.00002,0.00031,0.05322,0.00297,1987.0,40.0,1500.00,2000.00,0.1,1850.00,0.3,1900.00,0.1,1600.00,0.3,1600.00,0.1,1987.0,63.2
satisfactory,Teikovo,Т-2,TDTN-25000/110/35/6,3.00,1978.0,79.6,-1.0,1.25,0.036,145.00,0.00008,0.00045,0.00613,0.00087,0.00045,0.08175,0.00449,1978.0,18.0,860.00,1550.00,0.3,850.00,0.2,1700.00,0.4,800.00,0.2,1600.00,0.5,1978.0,65.4
satisfactory,Iuzha,Т-1,TDTN-25000/110-67U1,3.00,1980.0,64.4,-1.0,0.95,0.04,135.00,0.00,0.00016,0.00539,0.00086,0.00083,0.09,0.01323,1980.0,-1.0,4500.00,4500.00,0.15,3000.00,0.1,3000.00,0.1,4500.00,0.1,4000.00,0.1,1980.0,52.3
satisfactory,Iv-4,Т-1,TDTN-63000/110-76U1,3.00,1982.0,74.0,-1.0,3.98,0.03,144.00,0.00034,0.00121,0.00318,0.00007,0.00019,0.08195,0.00581,1982.0,-1.0,700.00,2700.00,0.1,400.00,0.26,2000.00,0.1,360.00,0.47,2000.00,0.1,1982.0,70.0
satisfactory,Demidovo,Т-2,TMN6300,3.00,1976.0,68.0,-1.0,0.9,0.028,144.00,0.0002,0.00021,0.00003,0.00,0.00073,0.059000000000000004,0.0028,1976.0,-1.0,10000.00,10000.00,0.32,5000.00,43497.00,3700.00,43525.00,6500.00,43525.00,5500.00,1.42,1976.0,54.5
good,Rosva,Т2,TDTN-25000/110U1,3.00,2008.0,70.2,19.0,0.00,0.00,137.00,0.00115,0.00,0.000001,0.000002,0.000001,0.00,0.00,2008.0,14.0,6280.00,10000.00,0.255,4200.00,0.568,10000.00,0.33,4380.00,0.845,10000.00,0.482,2008.0,65.56
satisfactory,Kvan,Т1,TDTN-10000/110,3.00,1980.0,78.5,26.0,0.64,0.02,135.00,0.0001,5.6999999999999996e-05,0.001229,0.000002,0.000141,0.24397,0.020447999999999997,1980.0,5.0,3000.00,1500.00,0.249,3000.00,0.1,1350.00,0.247,3800.00,0.1,1300.00,0.33,1980.0,52.3
good,Protva,Т-1,TDTN-25000/110,3.00,1985.0,50.0,-1.0,0.2,0.007,145.00,0.00,0.0001,0.0012,0.00,0.0002,0.11900000000000001,0.016,1985.0,40.0,2000.00,2000.00,0.2,2000.00,0.2,2000.00,0.2,1500.00,0.2,1500.00,0.2,1985.0,68.0
good,Rusinovo,Т-2,TDTN-40000/110,3.00,1982.0,69.0,-1.0,0.8,0.005,145.00,0.00,0.0003,0.001,0.00,0.00,0.10400000000000001,0.013999999999999999,1982.0,30.0,4500.00,2000.00,0.1,3000.00,0.3,2000.00,0.1,4000.00,0.3,2500.00,0.1,1982.0,66.0
good,Vorsino,Т-2,TDTN-10000/110,3.00,1987.0,69.0,-1.0,0.1,0.001,145.00,0.00,0.0008,0.00007,0.00004,0.00005,0.092,0.008,1987.0,45.0,8000.00,6000.00,0.2,8000.00,0.2,6000.00,0.2,5000.00,0.2,4000.00,0.2,1987.0,68.0
satisfactory,Severnaia,Т-1,TDTN-40000/110,3.00,1983.0,60.0,43617.00,0.5,0.011,142.00,-1.00,0.00016,0.00071,0.00004,0.00071,0.121,0.0068,1983.0,18.0,2000.00,8000.00,0.19,400.00,0.67,8000.00,0.24,1000.00,0.42,2500.00,1.19,1983.0,42.0
satisfactory,Severnaia,Т-2,TDTNG-31500/110,3.00,1958.0,59.0,43468.00,0.79,0.074,142.00,0.0007,0.00065,0.00234,0.00078,-1.00,0.609,0.02,1958.0,30.0,525.00,6000.00,0.4,520.00,0.4,2000.00,43525.00,400.00,0.5,1500.00,0.99,1958.0,58.0
satisfactory,Urzhum,Т-1,TDTN-16000/110,3.00,1985.0,70.0,43647.00,6.00,0.025,148.00,-1.00,0.00013000000000000002,0.00221,0.00003,0.0002,0.185,0.0115,1985.0,35.0,1500.00,10000.00,0.18,1300.00,0.53,10000.00,0.35,1550.00,0.55,10000.00,0.31,1985.0,48.0
satisfactory,Urzhum,Т-2,TDTN-10000/110,3.00,1970.0,71.0,2.0,43503.00,0.055,153.00,-1.00,0.00013000000000000002,0.00293,0.00024,-1.00,0.195,0.016,1970.0,25.0,1100.00,2400.00,0.2,1900.00,13.0,1800.00,0.38,1900.00,0.9,1800.00,0.325,1970.0,70.0
satisfactory,Zarechnaia,Т-1,TDTN-10000/110,3.00,1965.0,56.0,43498.00,0.54,0.011,146.00,-1.00,0.0016,0.00025,0.00007,-1.00,0.166,0.004,1965.0,13.0,800.00,10000.00,0.33,1100.00,0.5,10000.00,0.47,1300.00,0.5,10000.00,0.73,1965.0,53.0
satisfactory,Iaransk,Т-1,TDTN-16000/110,3.00,1984.0,55.0,43586.00,0.28,0.0154,157.00,0.0005,0.00039,0.00324,0.00039,0.00498,0.129,0.0079,1984.0,20.0,700.00,7500.00,0.2,600.00,43617.00,6500.00,0.3,800.00,0.97,2500.00,0.3,1984.0,39.0
satisfactory,Iaransk,Т-2,TDTN-16000/110,3.00,1977.0,53.0,43499.00,0.41,0.0278,149.00,0.008,0.00028,0.00283,0.00009,0.00183,0.205,0.021,1977.0,30.0,2000.00,7000.00,1.72,2500.00,43497.00,5000.00,1.16,4000.00,43556.00,50000.00,1.19,1977.0,-1.0
satisfactory,Paranga,Т-1,TDTN-10000/110,3.00,1987.0,56.0,-1.0,0.34,0.06,141.00,0.00,0.0001,0.001,0.00,0.001,0.06,0.0049,1987.0,-1.0,-1.00,3000.00,0.65,-1.00,-1.0,3000.00,0.65,-1.00,-1.0,2000.00,0.32,1987.0,46.0
good,Paranga,Т-2,TDTN-10000/110,3.00,1984.0,65.3,-1.0,0.67,0.07,139.00,0.00,0.00028,0.00034,0.00,0.00074,0.0419,0.0046,1984.0,-1.0,-1.00,3000.00,0.77,-1.00,-1.0,3000.00,0.54,-1.00,-1.0,3000.00,0.34,1984.0,43.0
good,Mari-Turek,Т-2,TDTN-10000/110,3.00,1978.0,61.0,-1.0,43497.00,0.045,141.00,0.00169,0.00031,0.00084,0.00,0.00072,0.095,0.009000000000000001,1978.0,-1.0,-1.00,3000.00,0.98,-1.00,-1.0,3000.00,0.58,-1.00,-1.0,2000.00,0.45,1978.0,45.0
good,NovyiTorial,Т-1,TDTN-10000/110,3.00,1981.0,57.0,-1.0,0.98,0.052,144.00,0.00026,0.00045999999999999996,0.00095,0.00022,0.00077,0.024,0.001,1981.0,-1.0,-1.00,3000.00,0.54,-1.00,-1.0,3000.00,0.78,-1.00,-1.0,2000.00,0.43,1981.0,48.0
good,NovyiTorial,Т-2,TDTN-10000/110,3.00,1989.0,57.6,-1.0,0.87,0.056,144.00,0.00012,0.00011999999999999999,0.00,0.00,0.00026,0.038,0.002,1989.0,-1.0,-1.00,3000.00,0.52,-1.00,-1.0,3000.00,0.72,-1.00,-1.0,2000.00,0.56,1989.0,54.0
good,Orshanskaia,Т-1,TDTN-16000/110,3.00,1985.0,64.8,-1.0,0.7,0.026,143.00,0.00005,0.00,0.0007,0.00,0.00,0.0342,0.0024,1985.0,-1.0,-1.00,3000.00,0.4,-1.00,-1.0,3000.00,0.3,-1.00,-1.0,3000.00,0.2,1985.0,54.6
good,Orshanskaia,Т-2,TDTN-10000/110,3.00,1981.0,78.6,-1.0,43678.00,0.034,139.00,0.00,0.00014,0.00102,0.00,0.00026,0.1461,0.013630000000000001,1981.0,-1.0,-1.00,3000.00,0.44,-1.00,-1.0,3000.00,0.54,-1.00,-1.0,3000.00,0.38,1981.0,52.0
good,Gremiachka,Т-2,TMT-6300,3.00,1971.0,60.0,-1.0,43500.00,0.06,150.00,0.00008,0.0001,0.00017,0.00001,0.00001,0.08174,0.0035299999999999997,1971.0,38.0,4000.00,4600.00,0.74,-1.00,0.76,-1.00,-1.0,1200.00,0.75,1300.00,0.78,1971.0,-1.0
satisfactory,Sekirino,Т-1,TDTG-20000,3.00,1968.0,60.0,-1.0,43681.00,0.09,143.00,0.08385,0.00022,0.00105,0.0001,0.00001,0.18003,0.01278,1968.0,40.0,3500.00,4000.00,0.85,4500.00,0.83,4800.00,0.86,1300.00,0.85,1400.00,0.87,1968.0,-1.0
satisfactory,Diagilevo,Т-2,TDTN-40000,3.00,1978.0,60.0,-1.0,43469.00,0.075,150.00,0.00054,0.00041,0.00455,0.00012,0.00108,0.22328,0.014469999999999998,1978.0,40.0,4500.00,4650.00,0.78,5200.00,0.83,5300.00,0.92,1500.00,0.83,1600.00,0.79,1978.0,0.0
good,Miloslavskaia,Т-1,TDTN-10000,3.00,1982.0,60.0,-1.0,43499.00,0.054,155.00,0.00001,0.0001,0.00006,0.00001,0.00002,0.09405,0.00595,1982.0,42.0,3200.00,4300.00,0.89,5400.00,0.87,5450.00,0.87,1600.00,0.87,1700.00,0.86,1982.0,0.0
good,Busaevo,Т-1,TMT-2500,3.00,1985.0,60.0,-1.0,43468.00,0.061,155.00,0.0005,0.0021,0.00005,0.00008,0.0006,0.001,0.05,1985.0,40.0,3800.00,4200.00,0.71,5100.00,0.79,4300.00,0.79,2500.00,0.79,1800.00,0.85,1985.0,-1.0
satisfactory,Sapozhok,Т-2,TDTG-25000,3.00,1984.0,60.0,-1.0,43500.00,0.08,151.00,0.0025,0.006,0.0002,0.0001,0.00005,0.001,0.021,1984.0,43.0,3600.00,4100.00,0.78,4600.00,0.81,4600.00,0.8,2300.00,0.82,2000.00,0.83,1984.0,-1.0
satisfactory,Mihailov,Т-1,TDTN-25000,3.00,1982.0,60.0,-1.0,4.00,0.074,145.00,0.0044,0.005,0.0008,0.0007,0.0001,0.02,0.07,1982.0,42.0,3700.00,4300.00,0.79,5000.00,0.81,4800.00,0.84,1800.00,0.85,2100.00,0.79,1982.0,0.0
satisfactory,Lomintcevo,Тр-р№1,TDTN-16000/110/35/6,3.00,1966.0,72.8,11.0,0.66,0.06,144.00,0.00009,0.00015,0.00157,0.00017,0.00,0.157,0.01192,1966.0,10.0,2200.00,1500.00,0.22,2000.00,0.25,3000.00,0.3,1500.00,0.2,2000.00,0.2,1966.0,36.8
satisfactory,Lomintcevo,Тр-р№2,TDTN-16000/110/35/6,3.00,1965.0,56.4,12.0,1.24,0.05,148.00,0.00124,0.00035,0.00077,0.00047,0.00,0.2651,0.0114,1965.0,10.0,2000.00,1000.00,0.6,1800.00,0.35,1500.00,0.45,1300.00,0.4,1500.00,0.49,1965.0,55.8
satisfactory,Barsuki,Тр-р№1,TDTN-25000/110-76U1,3.00,1977.0,66.4,10.0,0.9,0.07,144.00,0.00037,0.00027,0.00427,0.00019,0.00,0.35457,0.03832,1977.0,26.0,1900.00,1500.00,0.22,2000.00,0.2,1500.00,0.28,1500.00,0.25,1500.00,0.26,1977.0,76.0
satisfactory,Barsuki,Тр-р№2,TDTN-25000/110-76U1,3.00,1977.0,72.0,13.0,43466.00,0.06,140.00,0.00039,0.00028,0.00897,0.00021,0.00001,0.27788,0.02168,1977.0,25.0,2100.00,1500.00,0.18,1500.00,0.2,1500.00,0.2,2000.00,0.3,1500.00,0.3,1977.0,71.2
good,Ugolnaia,Т1,TDTNG-40500/110,3.00,1962.0,55.2,43546.00,0.12,0.05,139.00,0.00091,0.0005200000000000001,0.00128,0.0006,0.00054,0.27363000000000004,0.1278,1962.0,35.0,2000.00,1000.00,0.39,1600.00,0.7,500.00,43678.00,1850.00,0.8,300.00,1.98,1962.0,54.4
good,Ugolnaia,Т2,TDTNG-40000/110,3.00,1970.0,60.0,25.0,0.09,0.045,139.00,0.00023,0.00022999999999999998,0.00027,0.00012,0.00027,0.15100999999999998,0.00715,1970.0,35.0,1800.00,1800.00,0.62,1660.00,0.2,1800.00,0.59,1700.00,0.2,2200.00,43467.00,1970.0,60.0
good,Gryzlovo,Т1,TDTN-20000/110,3.00,1968.0,58.0,43524.00,0.18,0.048,139.00,0.00047,0.00011,0.00025,0.00008,0.00,0.14378,0.00713,1968.0,50.0,1800.00,380.00,0.48,2500.00,0.1,1500.00,0.5,2600.00,0.1,1400.00,0.4,1968.0,54.8
good,Gryzlovo,Т2,TDTN-25000/110,3.00,2004.0,60.0,43657.00,0.1,0.031,137.00,0.00001,0.00018,0.0044,0.00005,0.00001,0.13084,0.01255,2004.0,27.0,3100.00,3000.00,0.3,4200.00,0.11,3000.00,0.3,4000.00,0.11,3000.00,0.3,2004.0,58.0
good,Armaturnaia,Т1,TDTN-25000/110,3.00,2007.0,60.0,43674.00,0.07,0.01,137.00,0.00007,0.00042,0.00099,0.00012,0.00049,0.736,0.00412,2007.0,10.0,4400.00,4000.00,0.31,3450.00,0.3,2900.00,0.36,3300.00,0.4,2800.00,0.38,2007.0,60.0
good,Armaturnaia,Т2,TDTN-25000/110,3.00,2004.0,60.0,43700.00,0.07,0.015,137.00,0.00043,0.00025,0.00006,0.00008,0.00001,0.06443,0.00277,2004.0,1.0,29000.00,3000.00,0.3,15800.00,0.3,3000.00,0.33,15000.00,0.39,3000.00,0.41,2004.0,60.0
satisfactory,Aidarovo,Т-1,TRDN-25000/110/6,3.00,1973.0,76.0,10.0,0.09,0.03,142.00,0.0031,0.00,0.00006,0.00003,0.00,0.1289,0.00731,1973.0,15.0,2000.00,2000.00,0.12,2000.00,0.23,2000.00,0.12,2000.00,0.25,2000.00,0.1,1973.0,0.5
satisfactory,Stechkin,Т-1,TRDN-40000/110-76U1,3.00,1981.0,72.4,11.0,0.23,0.02,142.00,0.00002,0.00,0.00027,0.00005,0.00002,0.7095,0.00556,1981.0,15.0,6000.00,6000.00,0.12,4000.00,0.14,4000.00,0.14,4000.00,0.14,4000.00,0.14,1981.0,0.5
satisfactory,Stechkin,Т-2,TRDN-40000/110-76U1,3.00,1982.0,76.8,11.0,0.28,0.017,13810.00,0.00,0.0001,0.00031,0.00,0.00002,0.08784,0.00572,1982.0,0.0,6000.00,6000.00,0.25,6000.00,0.19,6000.00,0.19,6000.00,0.2,6000.00,0.2,1982.0,0.5
satisfactory,Uva,Т-2,TDTNG-15000/110,3.00,1960.0,65.3,43554.00,0.89,0.023,138.00,0.00053,0.00028,0.00264,0.00017,0.00,0.152,0.019,1960.0,20.0,900.00,1000.00,0.42,750.00,0.35,1000.00,0.62,700.00,0.4,1000.00,0.61,1960.0,59.0
satisfactory,Zarechnaia,Т-1,TDTNG-15000/110,3.00,1964.0,63.0,27.0,43466.00,0.074,140.00,0.00053,0.0005,0.00976,0.00048,0.00,0.382,0.024,1964.0,20.0,290.00,700.00,0.55,300.00,1.0,600.00,0.84,350.00,0.9,560.00,0.78,1964.0,61.3
good,Vala,Т-1,TDTN-10000/110,3.00,1993.0,70.0,43696.00,0.17,0.006,145.00,0.00018,0.00013000000000000002,0.00018,0.00002,0.00013,0.079,0.01,1993.0,22.0,1700.00,5000.00,0.21,2400.00,0.13,4500.00,0.2,2400.00,0.24,4500.00,0.27,1993.0,64.7
satisfactory,Orbita,Т-2,TDTN-25000/110,3.00,1990.0,50.0,-1.0,-1.00,0.009,145.00,-1.00,0.00035,0.0019,0.0006,0.0006,0.11,0.013000000000000001,1990.0,-1.0,1500.00,2500.00,0.48,1300.00,0.26,4000.00,0.61,1400.00,0.59,3000.00,0.8,1990.0,0.0
satisfactory,Dzerzhinskaia,Т-2,TDTN-31500,3.00,1968.0,78.0,-1.0,-1.00,0.018,154.00,0.0003,0.0002,0.0016,0.00056,0.00,0.23,0.013999999999999999,1968.0,20.0,6000.00,7000.00,0.4,4500.00,0.63,4500.00,43497.00,1500.00,0.63,1500.00,0.47,1968.0,68.8
satisfactory,Rabotki,Т-1,TDTN-10/110-79,3.00,1986.0,54.0,10.0,-1.00,0.004,148.00,0.0023,0.00018,0.0022,0.00011,0.00003,0.22,0.013000000000000001,1986.0,35.0,18000.00,16000.00,0.14,20000.00,0.13,18000.00,0.16,8500.00,0.17,6000.00,0.22,1986.0,57.8
good,Mohovogorskaia,Т-2,TDTN-40000/110,3.00,1992.0,74.0,-1.0,-1.00,0.021,152.00,0.00,0.0002,0.0014,0.00005,0.00,0.12,0.012,1992.0,50.0,12000.00,9130.00,0.2,11000.00,0.35,6110.00,0.2,12500.00,0.35,9560.00,0.21,1992.0,47.0
